"Quantity","LCSC Part Number","Value","Footprint"
"1","C2988620","18650","BAT_BH-18650-PC"
"2","C312983","100u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"2","C2908120","1N4148WL","D_SOD-123"
"2","C965817","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"1","C2830246","PTC 1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"1","C165948","USB_POWER_IN","USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"4","C2905026","cell","JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal"
"5","C347476","AO3401A","SOT-23"
"1","C431540","SW_SPDT","SW_SPDT_PCM12"
"1","C89297","ESP-7(S) or ESP-12*","ESP-12S"
"3","C43656","HX711","SOP-16_4.4x10.4mm_P1.27mm"
"1","C125830","TPL5110","SOT-23-6"
